h3_id,served_users,median_SE_bps_hz,median_SINR_dB
852b9bd7fffffff,1084562,5.073,23.48
852b9bc3fffffff,1022002,5.098,23.59
852b9bcffffffff,703955,5.01,23.18
852b9bcbfffffff,615661,4.586,21.21
852b9bc7fffffff,583265,4.945,22.88
852b9bd3fffffff,415325,4.631,21.42
852b9b7bfffffff,381375,4.334,20.03
852b83a3fffffff,381015,4.021,18.56
852b9b53fffffff,354016,4.125,19.05
852b9b57fffffff,327944,4.201,19.41
852ab463fffffff,318097,4.26,19.68
852b9867fffffff,297018,4.535,20.97
852ab48ffffffff,240910,4.651,21.51
852b83b3fffffff,224444,4.334,20.03
852b9b9bfffffff,215706,3.889,17.94
852b9b47fffffff,204999,4.077,18.82
852ab487fffffff,197867,4.077,18.82
852b9bdbfffffff,165936,4.289,19.82
852b814ffffffff,154716,4.672,21.61
852b9aa7fffffff,151729,3.929,18.13
852b986ffffffff,151600,3.924,18.11
852ab497fffffff,148440,3.947,18.21
852b9a87fffffff,141535,4.062,18.76
852b982bfffffff,131313,4.206,19.43
852b83b7fffffff,129562,4.457,20.6
852ab21bfffffff,126130,4.413,20.4
852ab2c7fffffff,123337,4.797,22.19
852ab4a3fffffff,119120,4.343,20.07
852b9b43fffffff,114646,4.576,21.16
852b9b3bfffffff,104447,4.139,19.12
852ab483fffffff,100633,4.528,20.93
852b9b33fffffff,97226,4.424,20.45
852b93cbfffffff,92034,4.096,18.91
852b9b07fffffff,84313,4.058,18.74
852b9b4ffffffff,82611,4.286,19.8
852b9daffffffff,82512,3.947,18.21
852b9b73fffffff,80016,4.205,19.42
852b98abfffffff,77866,4.003,18.48
852ab213fffffff,66818,4.199,19.4
852b9a27fffffff,65267,4.353,20.12
852ab473fffffff,64174,4.415,20.41
852b9ab3fffffff,56751,4.337,20.05
852ab60ffffffff,55358,4.25,19.64
852b9ab7fffffff,53543,4.427,20.46
852770cffffffff,53340,4.111,18.99
852b9d77fffffff,50508,4.049,18.7
852ab467fffffff,50145,4.605,21.29
852ab407fffffff,49580,4.136,19.1
852763a3fffffff,49388,4.183,19.32
852ab05bfffffff,48036,3.975,18.34
852b83a7fffffff,47712,4.269,19.72
852ab47bfffffff,46976,3.909,18.04
852b985bfffffff,44709,4.497,20.79
852b83abfffffff,43643,4.163,19.23
852b9d63fffffff,43561,4.283,19.79
852770c3fffffff,43196,4.174,19.28
852b986bfffffff,42664,4.667,21.58
852b9b23fffffff,40749,4.389,20.29
852b9a23fffffff,39468,4.301,19.87
852b9803fffffff,38514,4.118,19.02
852b9aa3fffffff,38113,3.998,18.46
852b9da7fffffff,37741,3.998,18.45
852ab41bfffffff,36550,4.276,19.76
852b8333fffffff,31110,4.394,20.31
852b9aabfffffff,31078,4.454,20.59
852ab2abfffffff,29693,4.411,20.39
852b9e67fffffff,28904,4.357,20.13
852b83affffffff,28888,4.644,21.48
852b9ac7fffffff,28475,4.498,20.79
852b8e1bfffffff,28015,4.477,20.7
852ab5dbfffffff,27667,4.144,19.14
852ab493fffffff,27604,4.268,19.72
852b9837fffffff,27551,4.56,21.08
852b9da3fffffff,26860,4.557,21.07
85276d27fffffff,26701,4.221,19.5
852b9b93fffffff,26150,3.91,18.04
852b98bbfffffff,26128,4.553,21.05
852b93dbfffffff,26125,4.677,21.63
852b9a8bfffffff,26112,4.52,20.9
852ab4b7fffffff,25421,4.467,20.65
852b9e33fffffff,25352,4.196,19.38
852b9abbfffffff,25094,4.449,20.57
852b812ffffffff,24873,3.937,18.17
852b9b5bfffffff,24640,4.894,22.64
852ab607fffffff,24199,4.637,21.45
852ab423fffffff,23076,4.539,20.99
852b9aaffffffff,22262,5.111,23.65
852b9b0ffffffff,21142,4.436,20.51
852b9a37fffffff,20921,4.887,22.61
852b817bfffffff,20700,4.616,21.35
852b9b2bfffffff,20283,4.437,20.51
852b9143fffffff,20187,4.598,21.26
852b9b27fffffff,19558,4.782,22.12
852b8327fffffff,19431,4.844,22.41
852b8147fffffff,19248,4.425,20.46
852b9157fffffff,19058,4.244,19.61
852b99dbfffffff,18539,4.516,20.88
852b8123fffffff,18314,4.522,20.91
852b9b2ffffffff,17984,4.475,20.69
852ab20bfffffff,17963,4.511,20.86
852ab28ffffffff,17929,4.703,21.75
852b9863fffffff,17919,4.672,21.61
852ab4b3fffffff,17722,4.982,23.05
852b93c3fffffff,17510,4.157,19.2
852b96cbfffffff,16713,4.375,20.22
852b8227fffffff,16653,4.399,20.33
852b96c3fffffff,16302,4.184,19.33
