h3_id,ntn_users,ntn_demand_Mbps,one_beam_cap_Mbps,beams_needed,exceeds_one_beam
852b9bcffffffff,29215,11441.522,531.0,21.547,True
852b986ffffffff,17803,7012.302,531.0,13.206,True
852b9bdbfffffff,17023,6626.432,531.0,12.479,True
852b9bcbfffffff,14387,5691.734,531.0,10.719,True
852b9bd3fffffff,12137,4746.472,531.0,8.939,True
852b9867fffffff,11731,4632.305,531.0,8.724,True
852b986bfffffff,7515,2949.33,531.0,5.554,True
852b9aa7fffffff,6760,2734.544,531.0,5.15,True
852b9bc3fffffff,6227,2436.36,531.0,4.588,True
852b9bc7fffffff,4802,1890.688,531.0,3.561,True
852b9b9bfffffff,4537,1739.134,531.0,3.275,True
852b9bd7fffffff,3945,1544.644,531.0,2.909,True
852b9863fffffff,2112,813.369,531.0,1.532,True
852b9b53fffffff,2029,804.534,531.0,1.515,True
852b9b57fffffff,1283,513.316,531.0,0.967,False
852b9a37fffffff,1300,511.286,531.0,0.963,False
852b9aaffffffff,1203,465.864,531.0,0.877,False
852b9ab7fffffff,891,360.647,531.0,0.679,False
852b9a27fffffff,860,333.584,531.0,0.628,False
852b982bfffffff,773,319.937,531.0,0.603,False
852b9aa3fffffff,613,244.001,531.0,0.46,False
852b987bfffffff,649,237.961,531.0,0.448,False
852b9877fffffff,541,203.514,531.0,0.383,False
852b9b43fffffff,492,186.759,531.0,0.352,False
852b9a33fffffff,382,149.898,531.0,0.282,False
852b9b5bfffffff,365,133.36,531.0,0.251,False
852b9a23fffffff,323,126.34,531.0,0.238,False
852b9873fffffff,328,125.546,531.0,0.236,False
852b9aabfffffff,305,117.854,531.0,0.222,False
852b9b93fffffff,262,110.783,531.0,0.209,False
852b9b47fffffff,264,109.758,531.0,0.207,False
852b9ab3fffffff,249,104.237,531.0,0.196,False
852b9a2ffffffff,226,100.167,531.0,0.189,False
852b9847fffffff,184,79.972,531.0,0.151,False
852b984ffffffff,182,74.104,531.0,0.14,False
852b983bfffffff,177,71.479,531.0,0.135,False
852b9b4ffffffff,179,68.853,531.0,0.13,False
852b9b3bfffffff,177,65.995,531.0,0.124,False
852b9b7bfffffff,171,65.352,531.0,0.123,False
852ab497fffffff,131,62.974,531.0,0.119,False
852b9b4bfffffff,154,59.882,531.0,0.113,False
852b9abbfffffff,168,59.291,531.0,0.112,False
852b9823fffffff,145,59.041,531.0,0.111,False
852b9a07fffffff,129,51.531,531.0,0.097,False
852b980ffffffff,124,50.12,531.0,0.094,False
852b9a3bfffffff,131,49.909,531.0,0.094,False
852b9b77fffffff,121,49.28,531.0,0.093,False
852b9a87fffffff,127,45.852,531.0,0.086,False
852ab487fffffff,90,45.396,531.0,0.085,False
852b980bfffffff,116,44.395,531.0,0.084,False
852b9a2bfffffff,108,43.652,531.0,0.082,False
852b9b73fffffff,124,42.304,531.0,0.08,False
852b9b2bfffffff,86,39.533,531.0,0.074,False
852b9b8bfffffff,72,33.889,531.0,0.064,False
852b9b0ffffffff,70,33.752,531.0,0.064,False
852b9b07fffffff,108,33.125,531.0,0.062,False
852b9807fffffff,94,33.102,531.0,0.062,False
852b9a17fffffff,74,32.075,531.0,0.06,False
852b9b63fffffff,96,31.525,531.0,0.059,False
852b9b33fffffff,86,30.263,531.0,0.057,False
852b9b23fffffff,74,29.902,531.0,0.056,False
852b984bfffffff,63,29.622,531.0,0.056,False
852ab4b7fffffff,63,26.079,531.0,0.049,False
852ab483fffffff,66,25.931,531.0,0.049,False
852b9803fffffff,75,25.461,531.0,0.048,False
852ab493fffffff,74,25.4,531.0,0.048,False
852b9857fffffff,74,25.015,531.0,0.047,False
852ab4a3fffffff,50,24.656,531.0,0.046,False
852b9833fffffff,64,24.522,531.0,0.046,False
852b9a97fffffff,45,22.319,531.0,0.042,False
852b9a03fffffff,54,21.956,531.0,0.041,False
852b9b67fffffff,52,21.387,531.0,0.04,False
852b98abfffffff,49,21.119,531.0,0.04,False
852b9a8ffffffff,48,20.704,531.0,0.039,False
852b9a67fffffff,50,20.334,531.0,0.038,False
852b981bfffffff,39,18.628,531.0,0.035,False
852b98affffffff,44,18.062,531.0,0.034,False
852ab4b3fffffff,58,17.992,531.0,0.034,False
852b9a83fffffff,33,17.684,531.0,0.033,False
852b9a13fffffff,43,17.344,531.0,0.033,False
852ab4bbfffffff,45,16.438,531.0,0.031,False
852b9837fffffff,50,16.377,531.0,0.031,False
852b9a0ffffffff,50,15.176,531.0,0.029,False
852ab48ffffffff,39,14.904,531.0,0.028,False
852b985bfffffff,42,14.288,531.0,0.027,False
852b9853fffffff,37,13.239,531.0,0.025,False
852b9817fffffff,36,13.164,531.0,0.025,False
852b9b6ffffffff,33,13.086,531.0,0.025,False
852b9b6bfffffff,37,12.299,531.0,0.023,False
852b9a73fffffff,22,12.252,531.0,0.023,False
852b9a0bfffffff,25,12.117,531.0,0.023,False
852ab49bfffffff,34,11.663,531.0,0.022,False
852b9813fffffff,25,11.18,531.0,0.021,False
852b99dbfffffff,23,11.109,531.0,0.021,False
852b9e27fffffff,28,10.021,531.0,0.019,False
852b9e2ffffffff,25,9.911,531.0,0.019,False
852ab5d3fffffff,21,9.5,531.0,0.018,False
852b9a63fffffff,24,9.334,531.0,0.018,False
852ab48bfffffff,23,8.973,531.0,0.017,False
852b98a3fffffff,24,8.935,531.0,0.017,False
852b9a1bfffffff,20,8.67,531.0,0.016,False
852b98cffffffff,17,8.466,531.0,0.016,False
852b98c7fffffff,24,8.431,531.0,0.016,False
852ab4affffffff,25,7.905,531.0,0.015,False
852b9ac7fffffff,20,7.645,531.0,0.014,False
